# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 2.32112920e-03 -1.91904674e-03 3.01170735e-03
50 5.00000000e+00 2.31253752e-03 -1.83824054e-03 2.95414252e-03
100 1.00000000e+01 2.29556998e-03 -1.75957684e-03 2.89236101e-03
150 1.50000000e+01 2.23721564e-03 -1.90667622e-03 2.93948091e-03
200 2.00000000e+01 2.17655138e-03 -1.95413665e-03 2.92506854e-03
250 2.50000000e+01 2.22702185e-03 -2.13109073e-03 3.08239745e-03
300 3.00000000e+01 2.21726764e-03 -1.98662654e-03 2.97707252e-03
350 3.50000000e+01 2.20159185e-03 -1.86417613e-03 2.88481530e-03
400 4.00000000e+01 2.17961706e-03 -1.84779637e-03 2.85746076e-03
450 4.50000000e+01 2.16764351e-03 -1.73688983e-03 2.77767253e-03
500 5.00000000e+01 2.14964058e-03 -1.63936487e-03 2.70341854e-03
550 5.50000000e+01 2.12736009e-03 -1.84272602e-03 2.81448044e-03
600 6.00000000e+01 2.11209129e-03 -1.71350059e-03 2.71974519e-03
650 6.50000000e+01 2.13909056e-03 -1.75281917e-03 2.76551685e-03
700 7.00000000e+01 2.08354276e-03 -1.70104438e-03 2.68974021e-03
750 7.50000000e+01 2.06182245e-03 -1.58297853e-03 2.59941009e-03
800 8.00000000e+01 2.03754217e-03 -1.47801416e-03 2.51716189e-03
850 8.50000000e+01 2.08449131e-03 -1.52679509e-03 2.58383577e-03
900 9.00000000e+01 2.05547875e-03 -1.42622984e-03 2.50182422e-03
950 9.50000000e+01 2.02653022e-03 -1.33554265e-03 2.42703500e-03
1000 1.00000000e+02 1.99791696e-03 -1.25208613e-03 2.35783627e-03
1050 1.05000000e+02 1.96940918e-03 -1.17417926e-03 2.29287362e-03
1100 1.10000000e+02 1.94067636e-03 -1.10076927e-03 2.23112476e-03
1150 1.15000000e+02 1.95688847e-03 -1.11178344e-03 2.25066099e-03
1200 1.20000000e+02 1.93048944e-03 -1.04692718e-03 2.19609790e-03
1250 1.25000000e+02 1.96667621e-03 -1.04332052e-03 2.22628233e-03
1300 1.30000000e+02 1.87992561e-03 -1.03945832e-03 2.14816058e-03
1350 1.35000000e+02 1.81856449e-03 -1.03622256e-03 2.09306808e-03
1400 1.40000000e+02 1.79261412e-03 -9.63867991e-04 2.03531493e-03
1450 1.45000000e+02 1.76472426e-03 -8.98960861e-04 1.98050053e-03
1500 1.50000000e+02 1.71085121e-03 -9.10701812e-04 1.93814077e-03
1550 1.55000000e+02 1.71834475e-03 -9.30586306e-04 1.95414932e-03
1600 1.60000000e+02 1.69252988e-03 -8.69800686e-04 1.90294788e-03
1650 1.65000000e+02 1.74576510e-03 -8.43651418e-04 1.93892844e-03
1700 1.70000000e+02 1.70702557e-03 -7.78866350e-04 1.87631796e-03
1750 1.75000000e+02 1.71392947e-03 -8.96254205e-04 1.93412146e-03
1800 1.80000000e+02 1.68031978e-03 -8.41816771e-04 1.87939619e-03
1850 1.85000000e+02 1.73857773e-03 -9.23838292e-04 1.96878890e-03
1900 1.90000000e+02 1.82505080e-03 -9.89529537e-04 2.07604892e-03
1950 1.95000000e+02 1.78795098e-03 -9.18074918e-04 2.00988315e-03
2000 2.00000000e+02 1.75671070e-03 -8.57591513e-04 1.95486462e-03
2050 2.05000000e+02 1.81785808e-03 -8.13313702e-04 1.99150375e-03
2100 2.10000000e+02 1.80742273e-03 -9.30016278e-04 2.03266013e-03
2150 2.15000000e+02 1.77634018e-03 -8.72600998e-04 1.97909498e-03
2200 2.20000000e+02 1.81037979e-03 -8.79454892e-04 2.01268872e-03
2250 2.25000000e+02 1.77928270e-03 -8.19257169e-04 1.95883364e-03
2300 2.30000000e+02 1.76396093e-03 -8.43891175e-04 1.95543102e-03
2350 2.35000000e+02 1.75448775e-03 -8.66890536e-04 1.95696869e-03
2400 2.40000000e+02 1.72360567e-03 -8.10384634e-04 1.90461014e-03
2450 2.45000000e+02 1.73936202e-03 -8.38711101e-04 1.93101438e-03
2500 2.50000000e+02 1.71177904e-03 -7.88907288e-04 1.88482418e-03
